Release  Id : 430	County Median Age
B01002001E001001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Autauga County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012069              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lake County, FL                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012071              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lee County, FL                                          NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012073              Estimate, Median Age by Sex, Total Population (5-year estimate) in Leon County, FL                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012075              Estimate, Median Age by Sex, Total Population (5-year estimate) in Levy County, FL                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012077              Estimate, Median Age by Sex, Total Population (5-year estimate) in Liberty County, FL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012079              Estimate, Median Age by Sex, Total Population (5-year estimate) in Madison County, FL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012081              Estimate, Median Age by Sex, Total Population (5-year estimate) in Manatee County, FL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012083              Estimate, Median Age by Sex, Total Population (5-year estimate) in Marion County, FL                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012085              Estimate, Median Age by Sex, Total Population (5-year estimate) in Martin County, FL                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012086              Estimate, Median Age by Sex, Total Population (5-year estimate) in Miami-Dade County, FL                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012087              Estimate, Median Age by Sex, Total Population (5-year estimate) in Monroe County, FL                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012089              Estimate, Median Age by Sex, Total Population (5-year estimate) in Nassau County, FL                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012091              Estimate, Median Age by Sex, Total Population (5-year estimate) in Okaloosa County, FL                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012093              Estimate, Median Age by Sex, Total Population (5-year estimate) in Okeechobee County, FL                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012095              Estimate, Median Age by Sex, Total Population (5-year estimate) in Orange County, FL                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012097              Estimate, Median Age by Sex, Total Population (5-year estimate) in Osceola County, FL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012099              Estimate, Median Age by Sex, Total Population (5-year estimate) in Palm Beach County, FL                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012101              Estimate, Median Age by Sex, Total Population (5-year estimate) in Pasco County, FL                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012103              Estimate, Median Age by Sex, Total Population (5-year estimate) in Pinellas County, FL                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012105              Estimate, Median Age by Sex, Total Population (5-year estimate) in Polk County, FL                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012107              Estimate, Median Age by Sex, Total Population (5-year estimate) in Putnam County, FL                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012109              Estimate, Median Age by Sex, Total Population (5-year estimate) in St. Johns County, FL                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012111              Estimate, Median Age by Sex, Total Population (5-year estimate) in St. Lucie County, FL                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012113              Estimate, Median Age by Sex, Total Population (5-year estimate) in Santa Rosa County, FL                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012115              Estimate, Median Age by Sex, Total Population (5-year estimate) in Sarasota County, FL                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012117              Estimate, Median Age by Sex, Total Population (5-year estimate) in Seminole County, FL                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012119              Estimate, Median Age by Sex, Total Population (5-year estimate) in Sumter County, FL                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012121              Estimate, Median Age by Sex, Total Population (5-year estimate) in Suwannee County, FL                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012123              Estimate, Median Age by Sex, Total Population (5-year estimate) in Taylor County, FL                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012125              Estimate, Median Age by Sex, Total Population (5-year estimate) in Union County, FL                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012127              Estimate, Median Age by Sex, Total Population (5-year estimate) in Volusia County, FL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012129              Estimate, Median Age by Sex, Total Population (5-year estimate) in Wakulla County, FL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012131              Estimate, Median Age by Sex, Total Population (5-year estimate) in Walton County, FL                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E012133              Estimate, Median Age by Sex, Total Population (5-year estimate) in Washington County, FL                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Appling County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013003              Estimate, Median Age by Sex, Total Population (5-year estimate) in Atkinson County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013005              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bacon County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013007              Estimate, Median Age by Sex, Total Population (5-year estimate) in Baker County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013009              Estimate, Median Age by Sex, Total Population (5-year estimate) in Baldwin County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013011              Estimate, Median Age by Sex, Total Population (5-year estimate) in Banks County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013013              Estimate, Median Age by Sex, Total Population (5-year estimate) in Barrow County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013015              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bartow County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013017              Estimate, Median Age by Sex, Total Population (5-year estimate) in Ben Hill County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013019              Estimate, Median Age by Sex, Total Population (5-year estimate) in Berrien County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013021              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bibb County, GA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013023              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bleckley County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013025              Estimate, Median Age by Sex, Total Population (5-year estimate) in Brantley County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013027              Estimate, Median Age by Sex, Total Population (5-year estimate) in Brooks County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013029              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bryan County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013031              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bulloch County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013033              Estimate, Median Age by Sex, Total Population (5-year estimate) in Burke County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013035              Estimate, Median Age by Sex, Total Population (5-year estimate) in Butts County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013037              Estimate, Median Age by Sex, Total Population (5-year estimate) in Calhoun County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013039              Estimate, Median Age by Sex, Total Population (5-year estimate) in Camden County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013043              Estimate, Median Age by Sex, Total Population (5-year estimate) in Candler County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013045              Estimate, Median Age by Sex, Total Population (5-year estimate) in Carroll County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013047              Estimate, Median Age by Sex, Total Population (5-year estimate) in Catoosa County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013049              Estimate, Median Age by Sex, Total Population (5-year estimate) in Charlton County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013051              Estimate, Median Age by Sex, Total Population (5-year estimate) in Chatham County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013053              Estimate, Median Age by Sex, Total Population (5-year estimate) in Chattahoochee County, GA                                NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013055              Estimate, Median Age by Sex, Total Population (5-year estimate) in Chattooga County, GA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013057              Estimate, Median Age by Sex, Total Population (5-year estimate) in Cherokee County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013059              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clarke County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013061              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clay County, GA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013063              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clayton County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013065              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clinch County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013067              Estimate, Median Age by Sex, Total Population (5-year estimate) in Cobb County, GA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013069              Estimate, Median Age by Sex, Total Population (5-year estimate) in Coffee County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013071              Estimate, Median Age by Sex, Total Population (5-year estimate) in Colquitt County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013073              Estimate, Median Age by Sex, Total Population (5-year estimate) in Columbia County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013075              Estimate, Median Age by Sex, Total Population (5-year estimate) in Cook County, GA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013077              Estimate, Median Age by Sex, Total Population (5-year estimate) in Coweta County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013079              Estimate, Median Age by Sex, Total Population (5-year estimate) in Crawford County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013081              Estimate, Median Age by Sex, Total Population (5-year estimate) in Crisp County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013083              Estimate, Median Age by Sex, Total Population (5-year estimate) in Dade County, GA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013085              Estimate, Median Age by Sex, Total Population (5-year estimate) in Dawson County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013087              Estimate, Median Age by Sex, Total Population (5-year estimate) in Decatur County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013089              Estimate, Median Age by Sex, Total Population (5-year estimate) in DeKalb County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013091              Estimate, Median Age by Sex, Total Population (5-year estimate) in Dodge County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013093              Estimate, Median Age by Sex, Total Population (5-year estimate) in Dooly County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013095              Estimate, Median Age by Sex, Total Population (5-year estimate) in Dougherty County, GA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013097              Estimate, Median Age by Sex, Total Population (5-year estimate) in Douglas County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013099              Estimate, Median Age by Sex, Total Population (5-year estimate) in Early County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013101              Estimate, Median Age by Sex, Total Population (5-year estimate) in Echols County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013103              Estimate, Median Age by Sex, Total Population (5-year estimate) in Effingham County, GA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013105              Estimate, Median Age by Sex, Total Population (5-year estimate) in Elbert County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013107              Estimate, Median Age by Sex, Total Population (5-year estimate) in Emanuel County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013109              Estimate, Median Age by Sex, Total Population (5-year estimate) in Evans County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013111              Estimate, Median Age by Sex, Total Population (5-year estimate) in Fannin County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013113              Estimate, Median Age by Sex, Total Population (5-year estimate) in Fayette County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013115              Estimate, Median Age by Sex, Total Population (5-year estimate) in Floyd County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013117              Estimate, Median Age by Sex, Total Population (5-year estimate) in Forsyth County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013119              Estimate, Median Age by Sex, Total Population (5-year estimate) in Franklin County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013121              Estimate, Median Age by Sex, Total Population (5-year estimate) in Fulton County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013123              Estimate, Median Age by Sex, Total Population (5-year estimate) in Gilmer County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013125              Estimate, Median Age by Sex, Total Population (5-year estimate) in Glascock County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013127              Estimate, Median Age by Sex, Total Population (5-year estimate) in Glynn County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013129              Estimate, Median Age by Sex, Total Population (5-year estimate) in Gordon County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013131              Estimate, Median Age by Sex, Total Population (5-year estimate) in Grady County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013133              Estimate, Median Age by Sex, Total Population (5-year estimate) in Greene County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013135              Estimate, Median Age by Sex, Total Population (5-year estimate) in Gwinnett County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013137              Estimate, Median Age by Sex, Total Population (5-year estimate) in Habersham County, GA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013139              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hall County, GA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013141              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hancock County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013143              Estimate, Median Age by Sex, Total Population (5-year estimate) in Haralson County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013145              Estimate, Median Age by Sex, Total Population (5-year estimate) in Harris County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013147              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hart County, GA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013149              Estimate, Median Age by Sex, Total Population (5-year estimate) in Heard County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013151              Estimate, Median Age by Sex, Total Population (5-year estimate) in Henry County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013153              Estimate, Median Age by Sex, Total Population (5-year estimate) in Houston County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013155              Estimate, Median Age by Sex, Total Population (5-year estimate) in Irwin County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013157              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jackson County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013159              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jasper County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013161              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jeff Davis County, GA                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013163              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jefferson County, GA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013165              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jenkins County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013167              Estimate, Median Age by Sex, Total Population (5-year estimate) in Johnson County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013169              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jones County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013171              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lamar County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013173              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lanier County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013175              Estimate, Median Age by Sex, Total Population (5-year estimate) in Laurens County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013177              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lee County, GA                                          NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013179              Estimate, Median Age by Sex, Total Population (5-year estimate) in Liberty County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013181              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lincoln County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013183              Estimate, Median Age by Sex, Total Population (5-year estimate) in Long County, GA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013185              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lowndes County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013187              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lumpkin County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013189              Estimate, Median Age by Sex, Total Population (5-year estimate) in McDuffie County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013191              Estimate, Median Age by Sex, Total Population (5-year estimate) in McIntosh County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013193              Estimate, Median Age by Sex, Total Population (5-year estimate) in Macon County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013195              Estimate, Median Age by Sex, Total Population (5-year estimate) in Madison County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013197              Estimate, Median Age by Sex, Total Population (5-year estimate) in Marion County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013199              Estimate, Median Age by Sex, Total Population (5-year estimate) in Meriwether County, GA                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013201              Estimate, Median Age by Sex, Total Population (5-year estimate) in Miller County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013205              Estimate, Median Age by Sex, Total Population (5-year estimate) in Mitchell County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013207              Estimate, Median Age by Sex, Total Population (5-year estimate) in Monroe County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013209              Estimate, Median Age by Sex, Total Population (5-year estimate) in Montgomery County, GA                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013211              Estimate, Median Age by Sex, Total Population (5-year estimate) in Morgan County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013213              Estimate, Median Age by Sex, Total Population (5-year estimate) in Murray County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013215              Estimate, Median Age by Sex, Total Population (5-year estimate) in Muscogee County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013217              Estimate, Median Age by Sex, Total Population (5-year estimate) in Newton County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013219              Estimate, Median Age by Sex, Total Population (5-year estimate) in Oconee County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013221              Estimate, Median Age by Sex, Total Population (5-year estimate) in Oglethorpe County, GA                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013223              Estimate, Median Age by Sex, Total Population (5-year estimate) in Paulding County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013225              Estimate, Median Age by Sex, Total Population (5-year estimate) in Peach County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013227              Estimate, Median Age by Sex, Total Population (5-year estimate) in Pickens County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013229              Estimate, Median Age by Sex, Total Population (5-year estimate) in Pierce County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013231              Estimate, Median Age by Sex, Total Population (5-year estimate) in Pike County, GA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013233              Estimate, Median Age by Sex, Total Population (5-year estimate) in Polk County, GA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013235              Estimate, Median Age by Sex, Total Population (5-year estimate) in Pulaski County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013237              Estimate, Median Age by Sex, Total Population (5-year estimate) in Putnam County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013239              Estimate, Median Age by Sex, Total Population (5-year estimate) in Quitman County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013241              Estimate, Median Age by Sex, Total Population (5-year estimate) in Rabun County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013243              Estimate, Median Age by Sex, Total Population (5-year estimate) in Randolph County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013245              Estimate, Median Age by Sex, Total Population (5-year estimate) in Richmond County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013247              Estimate, Median Age by Sex, Total Population (5-year estimate) in Rockdale County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013249              Estimate, Median Age by Sex, Total Population (5-year estimate) in Schley County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013251              Estimate, Median Age by Sex, Total Population (5-year estimate) in Screven County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013253              Estimate, Median Age by Sex, Total Population (5-year estimate) in Seminole County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013255              Estimate, Median Age by Sex, Total Population (5-year estimate) in Spalding County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013257              Estimate, Median Age by Sex, Total Population (5-year estimate) in Stephens County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013259              Estimate, Median Age by Sex, Total Population (5-year estimate) in Stewart County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013261              Estimate, Median Age by Sex, Total Population (5-year estimate) in Sumter County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013263              Estimate, Median Age by Sex, Total Population (5-year estimate) in Talbot County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013265              Estimate, Median Age by Sex, Total Population (5-year estimate) in Taliaferro County, GA                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013267              Estimate, Median Age by Sex, Total Population (5-year estimate) in Tattnall County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013269              Estimate, Median Age by Sex, Total Population (5-year estimate) in Taylor County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013271              Estimate, Median Age by Sex, Total Population (5-year estimate) in Telfair County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013273              Estimate, Median Age by Sex, Total Population (5-year estimate) in Terrell County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013275              Estimate, Median Age by Sex, Total Population (5-year estimate) in Thomas County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013277              Estimate, Median Age by Sex, Total Population (5-year estimate) in Tift County, GA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013279              Estimate, Median Age by Sex, Total Population (5-year estimate) in Toombs County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013281              Estimate, Median Age by Sex, Total Population (5-year estimate) in Towns County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013283              Estimate, Median Age by Sex, Total Population (5-year estimate) in Treutlen County, GA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013285              Estimate, Median Age by Sex, Total Population (5-year estimate) in Troup County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013287              Estimate, Median Age by Sex, Total Population (5-year estimate) in Turner County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013289              Estimate, Median Age by Sex, Total Population (5-year estimate) in Twiggs County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013291              Estimate, Median Age by Sex, Total Population (5-year estimate) in Union County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013293              Estimate, Median Age by Sex, Total Population (5-year estimate) in Upson County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013295              Estimate, Median Age by Sex, Total Population (5-year estimate) in Walker County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013297              Estimate, Median Age by Sex, Total Population (5-year estimate) in Walton County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013299              Estimate, Median Age by Sex, Total Population (5-year estimate) in Ware County, GA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013301              Estimate, Median Age by Sex, Total Population (5-year estimate) in Warren County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013303              Estimate, Median Age by Sex, Total Population (5-year estimate) in Washington County, GA                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013305              Estimate, Median Age by Sex, Total Population (5-year estimate) in Wayne County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013307              Estimate, Median Age by Sex, Total Population (5-year estimate) in Webster County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013309              Estimate, Median Age by Sex, Total Population (5-year estimate) in Wheeler County, GA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013311              Estimate, Median Age by Sex, Total Population (5-year estimate) in White County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013313              Estimate, Median Age by Sex, Total Population (5-year estimate) in Whitfield County, GA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013315              Estimate, Median Age by Sex, Total Population (5-year estimate) in Wilcox County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
