Release  Id : 110	Personal Income by State
BEAPLPCPI                     Per Capita Personal Income in the Plains BEA Region                                                                        NSA  30-Sep-2022 01-Jan-2021             Annual             
BEARMPCPI                     Per Capita Personal Income in the Rocky Mountain BEA Region                                                                NSA  30-Sep-2022 01-Jan-2021             Annual             
BEASEPCPI                     Per Capita Personal Income in the Southeast BEA Region                                                                     NSA  30-Sep-2022 01-Jan-2021             Annual             
BEASWPCPI                     Per Capita Personal Income in the Southwest BEA Region                                                                     NSA  30-Sep-2022 01-Jan-2021             Annual             
CAEACC                        Accommodation and Food Services Earnings in California                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEADJ                        Residence Adjustment in California                                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEADM                        Administrative and Waste Services Earnings in California                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEART                        Arts, Entertainment and Recreation Earnings in California                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAECON                        Construction Earnings in California                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEDUR                        Durable Manufacturing Earnings in California                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEEDU                        Educational Services Earnings in California                                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEFIN                        Finance and Insurance Earnings in California                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEFOR                        Forestry, Fishing, Related Activities, and Other Earnings in California                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEHEA                        Health Care and Social Assistance Earnings in California                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEINF                        Information Earnings in California                                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEMAN                        Management of Companies and Enterprises Earnings in California                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEMIN                        Mining Earnings in California                                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAENET                        Net Earnings by Place of Residence in California                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAENON                        Nondurable Manufacturing Earnings in California                                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEOTH                        Other Services (except Public Administration) Earnings in California                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEPLA                        Earnings by Place of Work in California                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEPRO                        Professional and Technical Services Earnings in California                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEREA                        Real Estate, Rental and Leasing Earnings in California                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAERET                        Retail Trade Earnings in California                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAETRA                        Transportation and Warehousing Earnings in California                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEUTI                        Utilities Earnings in California                                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAEWHO                        Wholesale Trade Earnings in California                                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAOBEN                        State Unemployment Benefits in California                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAODIV                        Dividends, Interest and Rent in California                                                                               M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAOFAR                        Proprietors' Farm Income in California                                                                                   M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAONON                        Proprietors' Nonfarm Income in California                                                                                M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAOOTH                        Other Labor Income in California                                                                                         M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAOSOC                        Personal Contributions for Social Insurance in California                                                                M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAOTOT                        Total Personal Income in California                                                                                      M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAOTRA                        Transfers less State Unemployment Benefits in California (DISCONTINUED)                                                  M SAAR 01-Jul-2013 01-Jan-2013             Quarterly          
CAPCPI                        Per Capita Personal Income in California                                                                                   NSA  30-Sep-2022 01-Jan-2021             Annual             
CAWACC                        Accommodation and Food Services Wages and Salaries in California                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWADM                        Administrative and Waste Services Wages and Salaries in California                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWART                        Arts, Entertainment and Recreation Wages and Salaries in California                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWCON                        Construction Wages and Salaries in California                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWDUR                        Durable Manufacturing Wages and Salaries in California                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWEDU                        Educational Services Wages and Salaries in California                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWFIN                        Finance and Insurance Wages and Salaries in California                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWFOR                        Forestry, Fishing, Related Activities and Other Wages and Salaries in California                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWHEA                        Health Care and Social Assistance Wages and Salaries in California                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWINF                        Information Wages and Salaries in California                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWMAN                        Management of Companies and Enterprises Wages and Salaries in California                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWMIN                        Mining Wages and Salaries in California                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWNON                        Nondurable Manufacturing Wages and Salaries in California                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWOTH                        Other Services (Except Public Administration) Wages and Salaries in California                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWPRO                        Professional and Technical Services Wages and Salaries in California                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWREA                        Real Estate, Rental and Leasing Wages and Salaries in California                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWRET                        Retail Trade Wages and Salaries in California                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWTOT                        Total Wages and Salaries in California                                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWTRA                        Transportation and Warehousing Wages and Salaries in California                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWUTI                        Utilities Wages and Salaries in California                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CAWWHO                        Wholesale Trade Wages and Salaries in California                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEACC                        Accommodation and Food Services Earnings in Colorado                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEADJ                        Residence Adjustment in Colorado                                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEADM                        Administrative and Waste Services Earnings in Colorado                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEART                        Arts, Entertainment and Recreation Earnings in Colorado                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COECON                        Construction Earnings in Colorado                                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEDUR                        Durable Manufacturing Earnings in Colorado                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEEDU                        Educational Services Earnings in Colorado                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEFIN                        Finance and Insurance Earnings in Colorado                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEFOR                        Forestry, Fishing, Related Activities, and Other Earnings in Colorado                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEHEA                        Health Care and Social Assistance Earnings in Colorado                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEINF                        Information Earnings in Colorado                                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEMAN                        Management of Companies and Enterprises Earnings in Colorado                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEMIN                        Mining Earnings in Colorado                                                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COENET                        Net Earnings by Place of Residence in Colorado                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COENON                        Nondurable Manufacturing Earnings in Colorado                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEOTH                        Other Services (except Public Administration) Earnings in Colorado                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEPLA                        Earnings by Place of Work in Colorado                                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEPRO                        Professional and Technical Services Earnings in Colorado                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEREA                        Real Estate, Rental and Leasing Earnings in Colorado                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COERET                        Retail Trade Earnings in Colorado                                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COETRA                        Transportation and Warehousing Earnings in Colorado                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEUTI                        Utilities Earnings in Colorado                                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COEWHO                        Wholesale Trade Earnings in Colorado                                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COOBEN                        State Unemployment Benefits in Colorado                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COODIV                        Dividends, Interest and Rent in Colorado                                                                                 M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COOFAR                        Proprietors' Farm Income in Colorado                                                                                     M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COONON                        Proprietors' Nonfarm Income in Colorado                                                                                  M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COOOTH                        Other Labor Income in Colorado                                                                                           M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COOSOC                        Personal Contributions for Social Insurance in Colorado                                                                  M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COOTOT                        Total Personal Income in Colorado                                                                                        M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COOTRA                        Transfers less State Unemployment Benefits in Colorado (DISCONTINUED)                                                    M SAAR 01-Jul-2013 01-Jan-2013             Quarterly          
COPCPI                        Per Capita Personal Income in Colorado                                                                                     NSA  30-Sep-2022 01-Jan-2021             Annual             
COWACC                        Accommodation and Food Services Wages and Salaries in Colorado                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWADM                        Administrative and Waste Services Wages and Salaries in Colorado                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWART                        Arts, Entertainment and Recreation Wages and Salaries in Colorado                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWCON                        Construction Wages and Salaries in Colorado                                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWDUR                        Durable Manufacturing Wages and Salaries in Colorado                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWEDU                        Educational Services Wages and Salaries in Colorado                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWFIN                        Finance and Insurance Wages and Salaries in Colorado                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWFOR                        Forestry, Fishing, Related Activities and Other Wages and Salaries in Colorado                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWHEA                        Health Care and Social Assistance Wages and Salaries in Colorado                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWINF                        Information Wages and Salaries in Colorado                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWMAN                        Management of Companies and Enterprises Wages and Salaries in Colorado                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWMIN                        Mining Wages and Salaries in Colorado                                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWNON                        Nondurable Manufacturing Wages and Salaries in Colorado                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWOTH                        Other Services (Except Public Administration) Wages and Salaries in Colorado                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWPRO                        Professional and Technical Services Wages and Salaries in Colorado                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWREA                        Real Estate, Rental and Leasing Wages and Salaries in Colorado                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWRET                        Retail Trade Wages and Salaries in Colorado                                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWTOT                        Total Wages and Salaries in Colorado                                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWTRA                        Transportation and Warehousing Wages and Salaries in Colorado                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWUTI                        Utilities Wages and Salaries in Colorado                                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
COWWHO                        Wholesale Trade Wages and Salaries in Colorado                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEACC                        Accommodation and Food Services Earnings in Connecticut                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEADJ                        Residence Adjustment in Connecticut                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEADM                        Administrative and Waste Services Earnings in Connecticut                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEART                        Arts, Entertainment and Recreation Earnings in Connecticut                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTECON                        Construction Earnings in Connecticut                                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEDUR                        Durable Manufacturing Earnings in Connecticut                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEEDU                        Educational Services Earnings in Connecticut                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEFIN                        Finance and Insurance Earnings in Connecticut                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEFOR                        Forestry, Fishing, Related Activities, and Other Earnings in Connecticut                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEHEA                        Health Care and Social Assistance Earnings in Connecticut                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEINF                        Information Earnings in Connecticut                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEMAN                        Management of Companies and Enterprises Earnings in Connecticut                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEMIN                        Mining Earnings in Connecticut                                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTENET                        Net Earnings by Place of Residence in Connecticut                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTENON                        Nondurable Manufacturing Earnings in Connecticut                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEOTH                        Other Services (except Public Administration) Earnings in Connecticut                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEPLA                        Earnings by Place of Work in Connecticut                                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEPRO                        Professional and Technical Services Earnings in Connecticut                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEREA                        Real Estate, Rental and Leasing Earnings in Connecticut                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTERET                        Retail Trade Earnings in Connecticut                                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTETRA                        Transportation and Warehousing Earnings in Connecticut                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEUTI                        Utilities Earnings in Connecticut                                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTEWHO                        Wholesale Trade Earnings in Connecticut                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTOBEN                        State Unemployment Benefits in Connecticut                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTODIV                        Dividends, Interest and Rent in Connecticut                                                                              M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTOFAR                        Proprietors' Farm Income in Connecticut                                                                                  M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTONON                        Proprietors' Nonfarm Income in Connecticut                                                                               M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTOOTH                        Other Labor Income in Connecticut                                                                                        M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTOSOC                        Personal Contributions for Social Insurance in Connecticut                                                               M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTOTOT                        Total Personal Income in Connecticut                                                                                     M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTOTRA                        Transfers less State Unemployment Benefits in Connecticut (DISCONTINUED)                                                 M SAAR 01-Jul-2013 01-Jan-2013             Quarterly          
CTPCPI                        Per Capita Personal Income in Connecticut                                                                                  NSA  30-Sep-2022 01-Jan-2021             Annual             
CTWACC                        Accommodation and Food Services Wages and Salaries in Connecticut                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWADM                        Administrative and Waste Services Wages and Salaries in Connecticut                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWART                        Arts, Entertainment and Recreation Wages and Salaries in Connecticut                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWCON                        Construction Wages and Salaries in Connecticut                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWDUR                        Durable Manufacturing Wages and Salaries in Connecticut                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWEDU                        Educational Services Wages and Salaries in Connecticut                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWFIN                        Finance and Insurance Wages and Salaries in Connecticut                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWFOR                        Forestry, Fishing, Related Activities and Other Wages and Salaries in Connecticut                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWHEA                        Health Care and Social Assistance Wages and Salaries in Connecticut                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWINF                        Information Wages and Salaries in Connecticut                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWMAN                        Management of Companies and Enterprises Wages and Salaries in Connecticut                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWMIN                        Mining Wages and Salaries in Connecticut                                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWNON                        Nondurable Manufacturing Wages and Salaries in Connecticut                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWOTH                        Other Services (Except Public Administration) Wages and Salaries in Connecticut                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWPRO                        Professional and Technical Services Wages and Salaries in Connecticut                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWREA                        Real Estate, Rental and Leasing Wages and Salaries in Connecticut                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWRET                        Retail Trade Wages and Salaries in Connecticut                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWTOT                        Total Wages and Salaries in Connecticut                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWTRA                        Transportation and Warehousing Wages and Salaries in Connecticut                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWUTI                        Utilities Wages and Salaries in Connecticut                                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
CTWWHO                        Wholesale Trade Wages and Salaries in Connecticut                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEACC                        Accommodation and Food Services Earnings in District of Columbia                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEADJ                        Residence Adjustment in District of Columbia                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEADM                        Administrative and Waste Services Earnings in District of Columbia                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEART                        Arts, Entertainment and Recreation Earnings in District of Columbia                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCECON                        Construction Earnings in District of Columbia                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEDUR                        Durable Manufacturing Earnings in District of Columbia                                                                   T SAAR 30-Sep-2022 01-Oct-2019             Quarterly          
DCEEDU                        Educational Services Earnings in District of Columbia                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEFIN                        Finance and Insurance Earnings in District of Columbia                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEFOR                        Forestry, Fishing, Related Activities, and Other Earnings in District of Columbia                                        T SAAR 30-Sep-2022 01-Oct-2020             Quarterly          
DCEHEA                        Health Care and Social Assistance Earnings in District of Columbia                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEINF                        Information Earnings in District of Columbia                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEMAN                        Management of Companies and Enterprises Earnings in District of Columbia                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEMIN                        Mining Earnings in District of Columbia                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCENET                        Net Earnings by Place of Residence in District of Columbia                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCENON                        Nondurable Manufacturing Earnings in District of Columbia                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEOTH                        Other Services (except Public Administration) Earnings in District of Columbia                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEPLA                        Earnings by Place of Work in District of Columbia                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEPRO                        Professional and Technical Services Earnings in District of Columbia                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEREA                        Real Estate, Rental and Leasing Earnings in District of Columbia                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCERET                        Retail Trade Earnings in District of Columbia                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCETRA                        Transportation and Warehousing Earnings in District of Columbia                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEUTI                        Utilities Earnings in District of Columbia                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCEWHO                        Wholesale Trade Earnings in District of Columbia                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCOBEN                        State Unemployment Benefits in the District of Columbia                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCODIV                        Dividends, Interest and Rent in District of Columbia                                                                     M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCOFAR                        Proprietors' Farm Income in District of Columbia                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCONON                        Proprietors' Nonfarm Income in District of Columbia                                                                      M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCOOTH                        Other Labor Income in District of Columbia                                                                               M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCOSOC                        Personal Contributions for Social Insurance in District of Columbia                                                      M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCOTOT                        Total Personal Income in the District of Columbia                                                                        M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCOTRA                        Transfers less State Unemployment Benefits in the District of Columbia (DISCONTINUED)                                    M SAAR 01-Jul-2013 01-Jan-2013             Quarterly          
DCPCPI                        Per Capita Personal Income in the District of Columbia                                                                     NSA  30-Sep-2022 01-Jan-2021             Annual             
DCWACC                        Accommodation and Food Services Wages and Salaries in District of Columbia                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCWADM                        Administrative and Waste Services Wages and Salaries in District of Columbia                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCWART                        Arts, Entertainment and Recreation Wages and Salaries in District of Columbia                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCWCON                        Construction Wages and Salaries in District of Columbia                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCWDUR                        Durable Manufacturing Wages and Salaries in District of Columbia                                                         T SAAR 30-Sep-2022 01-Oct-2019             Quarterly          
DCWEDU                        Educational Services Wages and Salaries in District of Columbia                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCWFIN                        Finance and Insurance Wages and Salaries in District of Columbia                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCWFOR                        Forestry, Fishing, Related Activities and Other Wages and Salaries in District of Columbia                               T SAAR 30-Sep-2022 01-Oct-2020             Quarterly          
DCWHEA                        Health Care and Social Assistance Wages and Salaries in District of Columbia                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCWINF                        Information Wages and Salaries in District of Columbia                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCWMAN                        Management of Companies and Enterprises Wages and Salaries in District of Columbia                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCWMIN                        Mining Wages and Salaries in District of Columbia                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCWNON                        Nondurable Manufacturing Wages and Salaries in District of Columbia                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCWOTH                        Other Services (Except Public Administration) Wages and Salaries in District of Columbia                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCWPRO                        Professional and Technical Services Wages and Salaries in District of Columbia                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
DCWREA                        Real Estate, Rental and Leasing Wages and Salaries in District of Columbia                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
